"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 21:26:03 GMT 2025","Sat Oct 18 21:26:03 GMT 2025","480","","tests.NotificationMessageTest","","tests.NotificationMessageTest","testNotificationAppears","testNotificationAppears() repetition 5 of 5","Sprawdza, czy pojawia się komunikat po kliknięciu 'Click here'"
"passed","Sat Oct 18 21:25:50 GMT 2025","Sat Oct 18 21:25:50 GMT 2025","318","","tests.LargeDomTest","","tests.LargeDomTest","testCountAllTableCells","testCountAllTableCells()","Zlicza liczbę wszystkich komórek w tabeli — test orientacyjny do pomiarów wydajności Selenium vs Playwright"
"passed","Sat Oct 18 21:26:12 GMT 2025","Sat Oct 18 21:26:12 GMT 2025","403","","tests.AddRemoveElementsTest","","tests.AddRemoveElementsTest","testAddMultipleElements","testAddMultipleElements()","Sprawdzenie dodawania wielu przycisków 'Delete'"
"passed","Sat Oct 18 21:25:25 GMT 2025","Sat Oct 18 21:25:33 GMT 2025","7997","","tests.DynamicControlsTest","","tests.DynamicControlsTest","testEnableDisableInputField","testEnableDisableInputField()","Testuje przełączanie aktywności pola tekstowego"
"passed","Sat Oct 18 21:24:43 GMT 2025","Sat Oct 18 21:24:44 GMT 2025","999","","Entry Ad Modal Tests","","tests.EntryAdTest","testModalContent","Tytuł modala powinien być poprawny",""
"passed","Sat Oct 18 21:25:52 GMT 2025","Sat Oct 18 21:25:53 GMT 2025","266","","tests.KeyPressesTest","","tests.KeyPressesTest","testKeyPressShift","testKeyPressShift()",""
"passed","Sat Oct 18 21:25:59 GMT 2025","Sat Oct 18 21:26:00 GMT 2025","1066","","tests.SortableDataTablesTest","","tests.SortableDataTablesTest","testTableSorting","testTableSorting()","Playwright: Sprawdzanie sortowania tabeli po kliknięciu w nagłówek kolumny"
"passed","Sat Oct 18 21:24:47 GMT 2025","Sat Oct 18 21:24:47 GMT 2025","258","","tests.CheckboxesTest","","tests.CheckboxesTest","testCheckFirstCheckbox","testCheckFirstCheckbox()","Zaznacz pierwszy checkbox i sprawdź stan"
"passed","Sat Oct 18 21:26:05 GMT 2025","Sat Oct 18 21:26:06 GMT 2025","1018","","tests.HoversTest","","tests.HoversTest","testHoverDisplaysCaption","testHoverDisplaysCaption()",""
"passed","Sat Oct 18 21:25:21 GMT 2025","Sat Oct 18 21:25:22 GMT 2025","1064","","tests.FloatingMenuTest","","tests.FloatingMenuTest","testMenuLinksAreValid","Linki w menu powinny być poprawne",""
"passed","Sat Oct 18 21:24:53 GMT 2025","Sat Oct 18 21:24:54 GMT 2025","1454","","tests.DynamicContentTest","","tests.DynamicContentTest","testContentChangesOnRefresh","testContentChangesOnRefresh()","Testuje, czy dynamiczna zawartość ulega zmianie po odświeżeniu strony"
"passed","Sat Oct 18 21:25:43 GMT 2025","Sat Oct 18 21:25:44 GMT 2025","1228","","tests.RedirectorTest","","tests.RedirectorTest","testRedirect","testRedirect()","Test przekierowania po kliknięciu w link 'here'"
"passed","Sat Oct 18 21:26:12 GMT 2025","Sat Oct 18 21:26:13 GMT 2025","363","","tests.AddRemoveElementsTest","","tests.AddRemoveElementsTest","testDeleteElement","testDeleteElement()","Sprawdzenie, czy usunięcie elementu działa prawidłowo"
"passed","Sat Oct 18 21:24:58 GMT 2025","Sat Oct 18 21:25:00 GMT 2025","1474","","tests.JQueryUIMenusTest","","tests.JQueryUIMenusTest","testCsvDownloadLink","testCsvDownloadLink()",""
"passed","Sat Oct 18 21:25:17 GMT 2025","Sat Oct 18 21:25:17 GMT 2025","276","","tests.JavaScriptAlertsTest","","tests.JavaScriptAlertsTest","testJsConfirmAccept","testJsConfirmAccept()",""
"passed","Sat Oct 18 21:25:53 GMT 2025","Sat Oct 18 21:25:54 GMT 2025","1006","","tests.ShadowDomTest","","tests.ShadowDomTest","testShadowDomContent","Weryfikacja elementów Shadow DOM (Playwright)","Playwright automatycznie obsługuje Shadow DOM, więc możemy używać standardowych lokatorów"
"passed","Sat Oct 18 21:25:03 GMT 2025","Sat Oct 18 21:25:09 GMT 2025","6431","","tests.DynamicLoadingTest","","tests.DynamicLoadingTest","testDynamicLoadingExample1","testDynamicLoadingExample1()","Testuje poprawne ładowanie elementu, który był ukryty w DOM (Example 1)"
"passed","Sat Oct 18 21:26:01 GMT 2025","Sat Oct 18 21:26:02 GMT 2025","454","","tests.NotificationMessageTest","","tests.NotificationMessageTest","testNotificationAppears","testNotificationAppears() repetition 2 of 5","Sprawdza, czy pojawia się komunikat po kliknięciu 'Click here'"
"passed","Sat Oct 18 21:25:17 GMT 2025","Sat Oct 18 21:25:17 GMT 2025","264","","tests.JavaScriptAlertsTest","","tests.JavaScriptAlertsTest","testJsPromptCancel","testJsPromptCancel()",""
"passed","Sat Oct 18 21:25:52 GMT 2025","Sat Oct 18 21:25:52 GMT 2025","265","","tests.KeyPressesTest","","tests.KeyPressesTest","testKeyPressTab","testKeyPressTab()",""
"passed","Sat Oct 18 21:25:17 GMT 2025","Sat Oct 18 21:25:17 GMT 2025","264","","tests.JavaScriptAlertsTest","","tests.JavaScriptAlertsTest","testJsConfirmDismiss","testJsConfirmDismiss()",""
"passed","Sat Oct 18 21:25:22 GMT 2025","Sat Oct 18 21:25:22 GMT 2025","231","","tests.FloatingMenuTest","","tests.FloatingMenuTest","testFloatingMenuVisibilityOnScroll","Menu powinno być widoczne nawet po przewinięciu strony",""
"passed","Sat Oct 18 21:25:17 GMT 2025","Sat Oct 18 21:25:18 GMT 2025","264","","tests.JavaScriptAlertsTest","","tests.JavaScriptAlertsTest","testJsPromptInput","testJsPromptInput()",""
"passed","Sat Oct 18 21:24:48 GMT 2025","Sat Oct 18 21:24:49 GMT 2025","623","","tests.NestedFramesTest","","tests.NestedFramesTest","testOpenPage","Open NestedFrames page","Just open the NestedFrames page to ensure it loads."
"passed","Sat Oct 18 21:24:39 GMT 2025","Sat Oct 18 21:24:40 GMT 2025","1113","","tests.MultipleWindowsTest","","tests.MultipleWindowsTest","testNewWindowOpensCorrectly","testNewWindowOpensCorrectly()","Sprawdza, czy po kliknięciu 'Click Here' otwiera się nowe okno z właściwym nagłówkiem"
"passed","Sat Oct 18 21:24:49 GMT 2025","Sat Oct 18 21:24:50 GMT 2025","1027","","tests.InputsTest","","tests.InputsTest","testNumberInputField","testNumberInputField()",""
"passed","Sat Oct 18 21:25:40 GMT 2025","Sat Oct 18 21:25:42 GMT 2025","1023","","tests.ChallengingDomTest","","tests.ChallengingDomTest","testTableStructure","testTableStructure()","Sprawdza, czy tabela zawiera poprawną liczbę kolumn i co najmniej jeden wiersz"
"passed","Sat Oct 18 21:26:15 GMT 2025","Sat Oct 18 21:26:16 GMT 2025","832","","tests.JavaScriptOnloadEventErrorTest","","tests.JavaScriptOnloadEventErrorTest","testJavaScriptOnloadError","testJavaScriptOnloadError()","Powinien zostać zarejestrowany co najmniej jeden błąd JS na załadowaniu strony"
"passed","Sat Oct 18 21:26:02 GMT 2025","Sat Oct 18 21:26:03 GMT 2025","457","","tests.NotificationMessageTest","","tests.NotificationMessageTest","testNotificationAppears","testNotificationAppears() repetition 4 of 5","Sprawdza, czy pojawia się komunikat po kliknięciu 'Click here'"
"passed","Sat Oct 18 21:26:06 GMT 2025","Sat Oct 18 21:26:08 GMT 2025","1249","","tests.ForgotPasswordTest","","tests.ForgotPasswordTest","testForgotPasswordFormSubmission","testForgotPasswordFormSubmission()",""
"passed","Sat Oct 18 21:26:16 GMT 2025","Sat Oct 18 21:26:17 GMT 2025","1177","","tests.UploadTest","","tests.UploadTest","testFileUpload","Powinno się udać przesłać plik i wyświetlić jego nazwę",""
"passed","Sat Oct 18 21:26:00 GMT 2025","Sat Oct 18 21:26:01 GMT 2025","1207","","tests.NotificationMessageTest","","tests.NotificationMessageTest","testNotificationAppears","testNotificationAppears() repetition 1 of 5","Sprawdza, czy pojawia się komunikat po kliknięciu 'Click here'"
"passed","Sat Oct 18 21:24:51 GMT 2025","Sat Oct 18 21:24:52 GMT 2025","1209","","tests.DropdownTest","","tests.DropdownTest","testDropdownSelection","testDropdownSelection()","Testuje wybór dostępnych opcji z dropdowna"
"passed","Sat Oct 18 21:25:22 GMT 2025","Sat Oct 18 21:25:25 GMT 2025","2219","","tests.InfiniteScrollTest","","tests.InfiniteScrollTest","testLoadMoreParagraphsOnScroll","testLoadMoreParagraphsOnScroll()",""
"passed","Sat Oct 18 21:25:42 GMT 2025","Sat Oct 18 21:25:42 GMT 2025","240","","tests.ChallengingDomTest","","tests.ChallengingDomTest","testFirstCellHasText","testFirstCellHasText()","Sprawdza, czy komórka [0][0] zawiera dane"
"passed","Sat Oct 18 21:26:02 GMT 2025","Sat Oct 18 21:26:02 GMT 2025","454","","tests.NotificationMessageTest","","tests.NotificationMessageTest","testNotificationAppears","testNotificationAppears() repetition 3 of 5","Sprawdza, czy pojawia się komunikat po kliknięciu 'Click here'"
"passed","Sat Oct 18 21:25:19 GMT 2025","Sat Oct 18 21:25:21 GMT 2025","1078","","tests.GeolocationTest","","tests.GeolocationTest","testMockedGeolocation","testMockedGeolocation()",""
"passed","Sat Oct 18 21:24:50 GMT 2025","Sat Oct 18 21:24:51 GMT 2025","229","","tests.InputsTest","","tests.InputsTest","testInvalidInputIgnored","testInvalidInputIgnored()",""
"passed","Sat Oct 18 21:24:37 GMT 2025","Sat Oct 18 21:24:39 GMT 2025","1522","","tests.DragAndDropTest","","tests.DragAndDropTest","testDragAtoB","testDragAtoB()","Sprawdza, czy po przeciągnięciu kolumny A na B zawartość zostaje zamieniona"
"passed","Sat Oct 18 21:26:13 GMT 2025","Sat Oct 18 21:26:14 GMT 2025","1013","","tests.DownloadTest","","tests.DownloadTest","testFilesAreListed","Lista plików powinna być dostępna do pobrania",""
"passed","Sat Oct 18 21:25:56 GMT 2025","Sat Oct 18 21:25:56 GMT 2025","330","","tests.StatusCodesTest","","tests.StatusCodesTest","testStatus500","Sprawdź kod 500",""
"passed","Sat Oct 18 21:25:02 GMT 2025","Sat Oct 18 21:25:03 GMT 2025","1155","","tests.BrokenImagesTest","","tests.BrokenImagesTest","testBrokenImagesByNaturalWidth","testBrokenImagesByNaturalWidth()","Sprawdza, które obrazki są niewidoczne (naturalWidth == 0)"
"passed","Sat Oct 18 21:25:48 GMT 2025","Sat Oct 18 21:25:48 GMT 2025","688","","tests.FramesTest","","tests.FramesTest","testMiddleFrameContent","testMiddleFrameContent()",""
"passed","Sat Oct 18 21:25:51 GMT 2025","Sat Oct 18 21:25:52 GMT 2025","1022","","tests.KeyPressesTest","","tests.KeyPressesTest","testKeyPressEscape","testKeyPressEscape()",""
"passed","Sat Oct 18 21:24:47 GMT 2025","Sat Oct 18 21:24:48 GMT 2025","263","","tests.CheckboxesTest","","tests.CheckboxesTest","testUncheckSecondCheckbox","testUncheckSecondCheckbox()","Odznacz drugi checkbox i sprawdź stan"
"passed","Sat Oct 18 21:25:52 GMT 2025","Sat Oct 18 21:25:52 GMT 2025","264","","tests.KeyPressesTest","","tests.KeyPressesTest","testKeyPressAlt","testKeyPressAlt()",""
"passed","Sat Oct 18 21:25:45 GMT 2025","Sat Oct 18 21:25:46 GMT 2025","814","","tests.DisappearingElementsTest","","tests.DisappearingElementsTest","testGalleryLinkAppearsEventually","testGalleryLinkAppearsEventually()","Sprawdza, czy link 'Gallery' pojawia się w menu po kilku odświeżeniach"
"passed","Sat Oct 18 21:24:46 GMT 2025","Sat Oct 18 21:24:47 GMT 2025","976","","tests.CheckboxesTest","","tests.CheckboxesTest","testDefaultState","testDefaultState()","Sprawdza, że pierwszy checkbox jest odznaczony, a drugi zaznaczony"
"passed","Sat Oct 18 21:24:41 GMT 2025","Sat Oct 18 21:24:42 GMT 2025","1783","","Entry Ad Modal Tests","","tests.EntryAdTest","testModalAppearsOnLoad","Modal powinien pojawić się po wejściu na stronę",""
"passed","Sat Oct 18 21:26:08 GMT 2025","Sat Oct 18 21:26:09 GMT 2025","1159","","tests.DigestAuthTest","","tests.DigestAuthTest","testDigestAuthWithHttpCredentials","testDigestAuthWithHttpCredentials()","Weryfikuje logowanie do strony chronionej Digest Auth z użyciem httpCredentials w kontekście Playwright"
"passed","Sat Oct 18 21:25:57 GMT 2025","Sat Oct 18 21:25:58 GMT 2025","1392","","tests.FormAuthenticationTest","","tests.FormAuthenticationTest","testSuccessfulLogin","testSuccessfulLogin()",""
"passed","Sat Oct 18 21:26:11 GMT 2025","Sat Oct 18 21:26:12 GMT 2025","1045","","tests.AddRemoveElementsTest","","tests.AddRemoveElementsTest","testAddOneElement","testAddOneElement()","Sprawdzenie, czy jedno kliknięcie przycisku 'Add Element' dodaje jeden przycisk 'Delete'"
"passed","Sat Oct 18 21:26:14 GMT 2025","Sat Oct 18 21:26:14 GMT 2025","341","","tests.DownloadTest","","tests.DownloadTest","testDownloadFileLink","Kliknięcie w pierwszy plik powinno zainicjować pobieranie",""
"passed","Sat Oct 18 21:24:48 GMT 2025","Sat Oct 18 21:24:48 GMT 2025","268","","tests.CheckboxesTest","","tests.CheckboxesTest","testCheckBothCheckboxes","testCheckBothCheckboxes()","Zaznacz oba checkboxy i sprawdź ich stan"
"passed","Sat Oct 18 21:25:00 GMT 2025","Sat Oct 18 21:25:01 GMT 2025","1255","","tests.ShiftingContentTest","","tests.ShiftingContentTest","testShiftingMenu","testShiftingMenu()","Kliknięcie pierwszego linku w menu i weryfikacja przejścia na inną stronę"
"passed","Sat Oct 18 21:25:44 GMT 2025","Sat Oct 18 21:25:45 GMT 2025","1091","","tests.DisappearingElementsTest","","tests.DisappearingElementsTest","testNumberOfLinks","testNumberOfLinks()","Sprawdza, czy liczba linków w menu to 4 lub 5"
"passed","Sat Oct 18 21:25:42 GMT 2025","Sat Oct 18 21:25:42 GMT 2025","749","","tests.ChallengingDomTest","","tests.ChallengingDomTest","testHeaderButtonsClickable","testHeaderButtonsClickable()","Kliknij wszystkie trzy przyciski u góry strony"
